user,date,weekday,time,permanence_times,parking_lot
91,2017-09-05,Tue,9:30,335,39
128,2017-09-05,Tue,9:30,119,39
93,2017-09-06,Wed,10:00,399,4
100,2017-09-06,Wed,11:30,330,4
93,2017-09-06,Wed,17:30,391,4
27,2017-09-06,Wed,6:00,149,4
37,2017-09-06,Wed,6:00,324,4
29,2017-09-06,Wed,7:30,236,4
27,2017-09-06,Wed,8:00,386,4
134,2017-09-06,Wed,9:30,232,4
136,2017-09-06,Wed,9:30,103,4
111,2017-09-06,Wed,10:00,107,11
119,2017-09-06,Wed,11:30,135,11
111,2017-09-06,Wed,12:00,196,11
45,2017-09-06,Wed,7:30,428,11
110,2017-09-06,Wed,8:00,325,11
111,2017-09-06,Wed,8:00,107,11
106,2017-09-06,Wed,9:30,216,11
108,2017-09-06,Wed,9:30,143,11
109,2017-09-06,Wed,9:30,250,11
129,2017-09-06,Wed,11:30,93,16
77,2017-09-06,Wed,16:00,114,16
77,2017-09-06,Wed,19:30,102,16
7,2017-09-06,Wed,6:00,273,16
34,2017-09-06,Wed,6:00,197,16
12,2017-09-06,Wed,7:30,434,16
129,2017-09-06,Wed,8:00,201,16
34,2017-09-06,Wed,9:30,123,16
15,2017-09-06,Wed,10:00,131,19
94,2017-09-06,Wed,10:00,225,19
96,2017-09-06,Wed,10:00,84,19
20,2017-09-06,Wed,11:30,200,19
23,2017-09-06,Wed,11:30,281,19
117,2017-09-06,Wed,11:30,263,19
96,2017-09-06,Wed,12:00,102,19
94,2017-09-06,Wed,16:00,383,19
20,2017-09-06,Wed,6:00,262,19
23,2017-09-06,Wed,6:00,72,19
1,2017-09-06,Wed,8:00,457,19
21,2017-09-06,Wed,10:00,276,21
124,2017-09-06,Wed,10:00,188,21
135,2017-09-06,Wed,11:30,196,21
91,2017-09-06,Wed,12:00,322,21
21,2017-09-06,Wed,7:30,127,21
124,2017-09-06,Wed,8:00,125,21
133,2017-09-06,Wed,8:00,190,21
135,2017-09-06,Wed,9:30,103,21
92,2017-09-06,Wed,10:00,126,29
92,2017-09-06,Wed,17:30,144,29
5,2017-09-06,Wed,6:00,315,29
122,2017-09-06,Wed,8:00,313,29
11,2017-09-06,Wed,7:30,331,30
17,2017-09-06,Wed,7:30,103,30
130,2017-09-06,Wed,8:00,177,30
144,2017-09-06,Wed,9:30,240,30
17,2017-09-06,Wed,9:30,293,30
89,2017-09-06,Wed,10:00,253,32
9,2017-09-06,Wed,10:00,428,32
89,2017-09-06,Wed,16:00,125,32
2,2017-09-06,Wed,7:30,255,32
13,2017-09-06,Wed,7:30,84,32
149,2017-09-06,Wed,7:30,346,32
3,2017-09-06,Wed,8:00,177,32
9,2017-09-06,Wed,8:00,121,32
127,2017-09-06,Wed,8:00,274,32
150,2017-09-06,Wed,9:30,234,32
13,2017-09-06,Wed,9:30,104,32
90,2017-09-06,Wed,10:00,73,39
33,2017-09-06,Wed,10:00,124,39
90,2017-09-06,Wed,16:00,310,39
91,2017-09-06,Wed,18:00,151,39
33,2017-09-06,Wed,7:30,116,39
87,2017-09-06,Wed,7:30,277,39
125,2017-09-06,Wed,7:30,104,39
91,2017-09-06,Wed,9:30,203,39
27,2017-09-07,Thu,14:00,285,4
37,2017-09-07,Thu,14:00,284,4
93,2017-09-07,Thu,14:00,222,4
29,2017-09-07,Thu,15:30,481,4
136,2017-09-07,Thu,7:30,138,4
134,2017-09-07,Thu,9:30,260,4
93,2017-09-07,Thu,9:30,243,4
110,2017-09-07,Thu,10:00,248,11
111,2017-09-07,Thu,10:00,209,11
105,2017-09-07,Thu,11:30,173,11
106,2017-09-07,Thu,14:00,241,11
109,2017-09-07,Thu,14:00,135,11
111,2017-09-07,Thu,14:00,256,11
119,2017-09-07,Thu,14:00,170,11
110,2017-09-07,Thu,15:30,111,11
109,2017-09-07,Thu,7:30,324,11
106,2017-09-07,Thu,8:00,291,11
110,2017-09-07,Thu,8:00,121,11
111,2017-09-07,Thu,8:00,72,11
108,2017-09-07,Thu,9:30,332,11
77,2017-09-07,Thu,11:30,229,16
7,2017-09-07,Thu,14:00,288,16
12,2017-09-07,Thu,15:30,162,16
34,2017-09-07,Thu,15:30,164,16
129,2017-09-07,Thu,8:00,389,16
1,2017-09-07,Thu,14:00,195,19
23,2017-09-07,Thu,15:30,177,19
94,2017-09-07,Thu,15:30,193,19
20,2017-09-07,Thu,16:00,300,19
145,2017-09-07,Thu,7:30,176,19
44,2017-09-07,Thu,8:00,148,19
94,2017-09-07,Thu,8:00,313,19
95,2017-09-07,Thu,10:00,50,21
95,2017-09-07,Thu,11:30,53,21
21,2017-09-07,Thu,15:30,292,21
135,2017-09-07,Thu,7:30,227,21
124,2017-09-07,Thu,8:00,235,21
95,2017-09-07,Thu,9:30,65,21
45,2017-09-07,Thu,9:30,311,21
97,2017-09-07,Thu,9:30,233,21
122,2017-09-07,Thu,11:30,178,29
5,2017-09-07,Thu,14:00,282,29
92,2017-09-07,Thu,8:00,239,29
101,2017-09-07,Thu,11:30,69,30
11,2017-09-07,Thu,15:30,273,30
17,2017-09-07,Thu,15:30,215,30
101,2017-09-07,Thu,7:30,60,30
130,2017-09-07,Thu,9:30,140,30
144,2017-09-07,Thu,9:30,188,30
89,2017-09-07,Thu,10:00,202,32
89,2017-09-07,Thu,14:00,294,32
9,2017-09-07,Thu,15:30,321,32
13,2017-09-07,Thu,15:30,348,32
2,2017-09-07,Thu,16:00,156,32
3,2017-09-07,Thu,16:00,106,32
150,2017-09-07,Thu,7:30,202,32
127,2017-09-07,Thu,8:00,153,32
149,2017-09-07,Thu,8:00,136,32
41,2017-09-07,Thu,14:00,201,39
91,2017-09-07,Thu,14:00,290,39
33,2017-09-07,Thu,15:30,259,39
87,2017-09-07,Thu,7:30,358,39
42,2017-09-07,Thu,8:00,313,39
125,2017-09-07,Thu,8:00,188,39
90,2017-09-07,Thu,9:30,401,39
91,2017-09-07,Thu,9:30,333,39
98,2017-09-07,Thu,9:30,104,39
37,2017-09-08,Fri,10:00,372,4
93,2017-09-08,Fri,10:00,409,4
27,2017-09-08,Fri,12:00,360,4
27,2017-09-08,Fri,8:00,183,4
29,2017-09-08,Fri,9:30,389,4
136,2017-09-08,Fri,9:30,139,4
134,2017-09-08,Fri,9:30,96,4
30,2017-09-08,Fri,10:00,202,11
109,2017-09-08,Fri,11:30,73,11
119,2017-09-08,Fri,11:30,46,11
106,2017-09-08,Fri,7:30,121,11
109,2017-09-08,Fri,7:30,176,11
108,2017-09-08,Fri,8:00,284,11
111,2017-09-08,Fri,8:00,206,11
119,2017-09-08,Fri,8:00,223,11
110,2017-09-08,Fri,9:30,167,11
7,2017-09-08,Fri,10:00,425,16
12,2017-09-08,Fri,11:30,261,16
34,2017-09-08,Fri,11:30,123,16
34,2017-09-08,Fri,8:00,227,16
129,2017-09-08,Fri,8:00,198,16
104,2017-09-08,Fri,8:00,185,16
12,2017-09-08,Fri,9:30,107,16
44,2017-09-08,Fri,10:00,356,19
23,2017-09-08,Fri,11:30,382,19
105,2017-09-08,Fri,11:30,50,19
1,2017-09-08,Fri,13:30,204,19
94,2017-09-08,Fri,16:00,367,19
23,2017-09-08,Fri,8:00,205,19
20,2017-09-08,Fri,9:30,351,19
94,2017-09-08,Fri,9:30,155,19
145,2017-09-08,Fri,9:30,242,19
95,2017-09-08,Fri,10:00,102,21
19,2017-09-08,Fri,11:30,91,21
124,2017-09-08,Fri,7:30,231,21
133,2017-09-08,Fri,7:30,369,21
135,2017-09-08,Fri,8:00,143,21
21,2017-09-08,Fri,9:30,400,21
45,2017-09-08,Fri,9:30,230,21
5,2017-09-08,Fri,10:00,232,29
122,2017-09-08,Fri,7:30,104,29
5,2017-09-08,Fri,8:00,115,29
92,2017-09-08,Fri,9:30,205,29
17,2017-09-08,Fri,10:00,352,30
11,2017-09-08,Fri,12:00,184,30
11,2017-09-08,Fri,8:00,214,30
17,2017-09-08,Fri,8:00,137,30
130,2017-09-08,Fri,8:00,158,30
2,2017-09-08,Fri,10:00,340,32
3,2017-09-08,Fri,10:00,320,32
13,2017-09-08,Fri,10:00,316,32
89,2017-09-08,Fri,17:30,353,32
127,2017-09-08,Fri,8:00,239,32
150,2017-09-08,Fri,8:00,226,32
9,2017-09-08,Fri,9:30,342,32
89,2017-09-08,Fri,9:30,307,32
149,2017-09-08,Fri,9:30,357,32
33,2017-09-08,Fri,10:00,348,39
42,2017-09-08,Fri,10:00,312,39
90,2017-09-08,Fri,16:00,352,39
90,2017-09-08,Fri,8:00,175,39
91,2017-09-08,Fri,8:00,216,39
125,2017-09-08,Fri,9:30,364,39
94,2017-09-09,Sat,17:30,352,19
94,2017-09-09,Sat,9:30,228,19
87,2017-09-09,Sat,17:30,231,21
91,2017-09-09,Sat,10:00,215,39
30,2017-09-10,Sun,10:00,80,11
30,2017-09-10,Sun,8:00,55,11
84,2017-09-10,Sun,12:00,274,21
93,2017-09-11,Mon,10:00,115,4
134,2017-09-11,Mon,10:00,124,4
93,2017-09-11,Mon,12:00,299,4
27,2017-09-11,Mon,6:00,241,4
37,2017-09-11,Mon,6:00,130,4
93,2017-09-11,Mon,7:30,136,4
29,2017-09-11,Mon,8:00,329,4
134,2017-09-11,Mon,8:00,136,4
8,2017-09-11,Mon,10:00,339,11
27,2017-09-11,Mon,10:00,134,11
106,2017-09-11,Mon,10:00,216,11
119,2017-09-11,Mon,10:00,279,11
45,2017-09-11,Mon,11:30,331,11
108,2017-09-11,Mon,11:30,239,11
111,2017-09-11,Mon,7:30,268,11
106,2017-09-11,Mon,8:00,82,11
108,2017-09-11,Mon,8:00,173,11
110,2017-09-11,Mon,8:00,294,11
119,2017-09-11,Mon,8:00,106,11
37,2017-09-11,Mon,8:00,198,11
98,2017-09-11,Mon,9:30,132,11
109,2017-09-11,Mon,9:30,229,11
30,2017-09-11,Mon,9:30,203,11
34,2017-09-11,Mon,10:00,359,16
7,2017-09-11,Mon,12:00,291,16
34,2017-09-11,Mon,6:00,107,16
7,2017-09-11,Mon,7:30,248,16
129,2017-09-11,Mon,8:00,181,16
104,2017-09-11,Mon,9:30,94,16
42,2017-09-11,Mon,12:00,345,19
94,2017-09-11,Mon,12:00,418,19
1,2017-09-11,Mon,6:00,142,19
23,2017-09-11,Mon,7:30,153,19
94,2017-09-11,Mon,7:30,247,19
118,2017-09-11,Mon,7:30,193,19
20,2017-09-11,Mon,8:00,216,19
1,2017-09-11,Mon,9:30,244,19
23,2017-09-11,Mon,9:30,279,19
21,2017-09-11,Mon,10:00,245,21
135,2017-09-11,Mon,12:00,155,21
21,2017-09-11,Mon,7:30,168,21
95,2017-09-11,Mon,7:30,289,21
133,2017-09-11,Mon,7:30,123,21
97,2017-09-11,Mon,8:00,343,21
135,2017-09-11,Mon,9:30,162,21
92,2017-09-11,Mon,10:00,347,29
92,2017-09-11,Mon,16:00,339,29
5,2017-09-11,Mon,6:00,356,29
92,2017-09-11,Mon,8:00,126,29
122,2017-09-11,Mon,8:00,298,29
101,2017-09-11,Mon,10:00,113,30
144,2017-09-11,Mon,11:30,149,30
11,2017-09-11,Mon,7:30,420,30
17,2017-09-11,Mon,8:00,162,30
101,2017-09-11,Mon,8:00,114,30
130,2017-09-11,Mon,8:00,200,30
144,2017-09-11,Mon,8:00,179,30
126,2017-09-11,Mon,10:00,212,32
89,2017-09-11,Mon,11:30,211,32
89,2017-09-11,Mon,16:00,175,32
2,2017-09-11,Mon,6:00,172,32
9,2017-09-11,Mon,6:00,198,32
127,2017-09-11,Mon,7:30,300,32
150,2017-09-11,Mon,7:30,492,32
3,2017-09-11,Mon,8:00,567,32
13,2017-09-11,Mon,8:00,95,32
89,2017-09-11,Mon,8:00,81,32
149,2017-09-11,Mon,8:00,154,32
98,2017-09-11,Mon,11:30,150,39
90,2017-09-11,Mon,16:00,249,39
125,2017-09-11,Mon,7:30,354,39
33,2017-09-11,Mon,8:00,260,39
91,2017-09-11,Mon,8:00,317,39
90,2017-09-11,Mon,9:30,337,39
93,2017-09-12,Tue,10:00,308,4
27,2017-09-12,Tue,15:30,397,4
37,2017-09-12,Tue,15:30,150,4
29,2017-09-12,Tue,16:00,154,4
93,2017-09-12,Tue,17:30,219,4
134,2017-09-12,Tue,8:00,393,4
136,2017-09-12,Tue,8:00,180,4
106,2017-09-12,Tue,10:00,531,11
108,2017-09-12,Tue,14:00,183,11
109,2017-09-12,Tue,14:00,284,11
119,2017-09-12,Tue,14:00,282,11
111,2017-09-12,Tue,15:30,325,11
37,2017-09-12,Tue,18:00,73,11
106,2017-09-12,Tue,7:30,194,11
110,2017-09-12,Tue,7:30,262,11
109,2017-09-12,Tue,8:00,228,11
119,2017-09-12,Tue,8:00,201,11
111,2017-09-12,Tue,8:00,245,11
108,2017-09-12,Tue,9:30,279,11
133,2017-09-12,Tue,9:30,104,11
145,2017-09-12,Tue,10:00,204,16
12,2017-09-12,Tue,14:00,61,16
34,2017-09-12,Tue,15:30,82,16
12,2017-09-12,Tue,16:00,306,16
7,2017-09-12,Tue,17:30,106,16
104,2017-09-12,Tue,8:00,144,16
20,2017-09-12,Tue,15:30,266,19
94,2017-09-12,Tue,15:30,83,19
1,2017-09-12,Tue,16:00,100,19
94,2017-09-12,Tue,8:00,315,19
145,2017-09-12,Tue,8:00,137,19
44,2017-09-12,Tue,9:30,324,19
21,2017-09-12,Tue,15:30,120,21
133,2017-09-12,Tue,7:30,120,21
135,2017-09-12,Tue,7:30,447,21
124,2017-09-12,Tue,7:30,109,21
45,2017-09-12,Tue,8:00,287,21
97,2017-09-12,Tue,8:00,273,21
92,2017-09-12,Tue,10:00,276,29
5,2017-09-12,Tue,16:00,347,29
122,2017-09-12,Tue,7:30,171,29
17,2017-09-12,Tue,15:30,243,30
144,2017-09-12,Tue,7:30,124,30
130,2017-09-12,Tue,8:00,225,30
101,2017-09-12,Tue,8:00,161,30
122,2017-09-12,Tue,9:30,159,30
144,2017-09-12,Tue,9:30,113,30
89,2017-09-12,Tue,10:00,136,32
3,2017-09-12,Tue,14:00,92,32
89,2017-09-12,Tue,14:00,155,32
2,2017-09-12,Tue,16:00,270,32
9,2017-09-12,Tue,16:00,224,32
13,2017-09-12,Tue,16:00,142,32
89,2017-09-12,Tue,18:00,207,32
149,2017-09-12,Tue,8:00,334,32
150,2017-09-12,Tue,8:00,270,32
91,2017-09-12,Tue,11:30,359,39
98,2017-09-12,Tue,11:30,114,39
33,2017-09-12,Tue,15:30,172,39
91,2017-09-12,Tue,18:00,118,39
41,2017-09-12,Tue,7:30,468,39
42,2017-09-12,Tue,7:30,142,39
90,2017-09-12,Tue,9:30,338,39
98,2017-09-12,Tue,9:30,98,39
125,2017-09-12,Tue,9:30,160,39
137,2017-09-12,Tue,9:30,122,39
37,2017-09-13,Wed,10:00,306,4
27,2017-09-13,Wed,11:30,238,4
93,2017-09-13,Wed,16:00,364,4
29,2017-09-13,Wed,7:30,277,4
134,2017-09-13,Wed,7:30,203,4
136,2017-09-13,Wed,7:30,422,4
27,2017-09-13,Wed,8:00,169,4
88,2017-09-13,Wed,8:00,288,4
93,2017-09-13,Wed,9:30,263,4
30,2017-09-13,Wed,10:00,315,11
110,2017-09-13,Wed,10:00,192,11
106,2017-09-13,Wed,11:30,141,11
100,2017-09-13,Wed,12:00,32,11
45,2017-09-13,Wed,14:00,350,11
110,2017-09-13,Wed,14:00,199,11
111,2017-09-13,Wed,7:30,282,11
119,2017-09-13,Wed,7:30,333,11
45,2017-09-13,Wed,8:00,216,11
106,2017-09-13,Wed,8:00,145,11
108,2017-09-13,Wed,8:00,316,11
104,2017-09-13,Wed,8:00,44,11
95,2017-09-13,Wed,9:30,185,11
109,2017-09-13,Wed,9:30,366,11
110,2017-09-13,Wed,9:30,51,11
100,2017-09-13,Wed,9:30,31,11
77,2017-09-13,Wed,17:30,188,16
12,2017-09-13,Wed,6:00,315,16
34,2017-09-13,Wed,6:00,75,16
7,2017-09-13,Wed,7:30,467,16
129,2017-09-13,Wed,7:30,281,16
34,2017-09-13,Wed,7:30,56,16
34,2017-09-13,Wed,8:00,297,16
113,2017-09-13,Wed,10:00,181,19
145,2017-09-13,Wed,10:00,101,19
94,2017-09-13,Wed,12:00,123,19
94,2017-09-13,Wed,16:00,252,19
20,2017-09-13,Wed,6:00,146,19
23,2017-09-13,Wed,6:00,341,19
145,2017-09-13,Wed,8:00,91,19
1,2017-09-13,Wed,8:00,327,19
120,2017-09-13,Wed,8:00,160,19
94,2017-09-13,Wed,9:30,179,19
20,2017-09-13,Wed,9:30,189,19
124,2017-09-13,Wed,11:30,155,21
91,2017-09-13,Wed,13:30,210,21
135,2017-09-13,Wed,7:30,189,21
21,2017-09-13,Wed,8:00,291,21
124,2017-09-13,Wed,8:00,188,21
133,2017-09-13,Wed,9:30,177,21
5,2017-09-13,Wed,10:00,407,29
92,2017-09-13,Wed,16:00,138,29
122,2017-09-13,Wed,7:30,122,29
92,2017-09-13,Wed,9:30,310,29
130,2017-09-13,Wed,11:30,167,30
11,2017-09-13,Wed,7:30,133,30
17,2017-09-13,Wed,7:30,275,30
144,2017-09-13,Wed,7:30,251,30
130,2017-09-13,Wed,8:00,137,30
11,2017-09-13,Wed,9:30,229,30
149,2017-09-13,Wed,10:00,242,32
9,2017-09-13,Wed,12:00,153,32
89,2017-09-13,Wed,16:00,105,32
2,2017-09-13,Wed,6:00,362,32
3,2017-09-13,Wed,7:30,309,32
9,2017-09-13,Wed,8:00,154,32
13,2017-09-13,Wed,8:00,396,32
89,2017-09-13,Wed,8:00,316,32
127,2017-09-13,Wed,8:00,249,32
149,2017-09-13,Wed,8:00,124,32
150,2017-09-13,Wed,9:30,235,32
91,2017-09-13,Wed,10:00,178,39
90,2017-09-13,Wed,16:00,297,39
91,2017-09-13,Wed,16:00,256,39
125,2017-09-13,Wed,7:30,159,39
33,2017-09-13,Wed,8:00,253,39
90,2017-09-13,Wed,9:30,94,39
93,2017-09-14,Thu,14:00,288,4
27,2017-09-14,Thu,15:30,166,4
29,2017-09-14,Thu,15:30,393,4
37,2017-09-14,Thu,16:00,153,4
93,2017-09-14,Thu,9:30,219,4
134,2017-09-14,Thu,9:30,252,4
136,2017-09-14,Thu,9:30,295,4
109,2017-09-14,Thu,11:30,255,11
110,2017-09-14,Thu,11:30,294,11
111,2017-09-14,Thu,11:30,70,11
119,2017-09-14,Thu,11:30,58,11
106,2017-09-14,Thu,14:00,167,11
111,2017-09-14,Thu,14:00,277,11
119,2017-09-14,Thu,15:30,209,11
110,2017-09-14,Thu,7:30,115,11
106,2017-09-14,Thu,8:00,187,11
